place_id,name,place_kind,subtype,accessibility_rating,condition_rating,lat,lon,source_file
furniture-1079398,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,3.44,-37.81363183330367,144.9725368854008,street_furniture_clean.csv
furniture-1079403,Seat - Metal Seat,street_furniture,Seat,,3.16,-37.81444891296528,144.9628608779668,street_furniture_clean.csv
furniture-1079411,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,3.42,-37.81256879483347,144.96786790467,street_furniture_clean.csv
furniture-1079436,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,1.4,-37.81317237953362,144.9708137506145,street_furniture_clean.csv
furniture-1079438,Seat - Metal Seat,street_furniture,Seat,,3.16,-37.81047267787703,144.96045190623795,street_furniture_clean.csv
furniture-1079479,Seat - Metal Bench,street_furniture,Seat,,1.17,-37.817907324437925,144.96496975991994,street_furniture_clean.csv
furniture-1079517,Seat - Metal Seat,street_furniture,Seat,,3.16,-37.82039403684941,144.96384437244097,street_furniture_clean.csv
furniture-1079522,Seat - Metal Seat,street_furniture,Seat,,3.16,-37.81931391070997,144.96473175489993,street_furniture_clean.csv
furniture-1079535,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,3.42,-37.81254316172112,144.9709278730843,street_furniture_clean.csv
furniture-1079539,Seat - Metal Seat,street_furniture,Seat,,2.16,-37.81105189457859,144.97734450791688,street_furniture_clean.csv
furniture-1079544,Seat - Metal Seat,street_furniture,Seat,,3.16,-37.82048097975758,144.96325442163555,street_furniture_clean.csv
furniture-1079563,Seat - Metal Seat,street_furniture,Seat,,3.13,-37.81603409036202,144.98314650609393,street_furniture_clean.csv
furniture-1079570,Seat - Metal Seat,street_furniture,Seat,,3.16,-37.81700990717163,144.967446441251,street_furniture_clean.csv
furniture-1079581,Seat - Metal Seat,street_furniture,Seat,,3.1,-37.81522981602737,144.96065552383303,street_furniture_clean.csv
furniture-1079600,Seat - Metal Seat,street_furniture,Seat,,1.0,-37.798445842619465,144.9715654910452,street_furniture_clean.csv
furniture-1079607,Seat - Metal Seat,street_furniture,Seat,,1.0,-37.79640654244547,144.94643352929663,street_furniture_clean.csv
furniture-1079620,Seat - Metal Seat,street_furniture,Seat,,3.1,-37.8182679581439,144.96205621624347,street_furniture_clean.csv
furniture-1079630,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,3.4,-37.8115660550984,144.96432535840145,street_furniture_clean.csv
furniture-1079636,Seat - Metal Seat,street_furniture,Seat,,2.82,-37.79213068388444,144.94518045964875,street_furniture_clean.csv
furniture-1079652,Seat - Metal Seat,street_furniture,Seat,,3.12,-37.81296190536703,144.95400029166044,street_furniture_clean.csv
furniture-1079653,Seat - Metal Seat,street_furniture,Seat,,3.12,-37.81281487890362,144.9539302884992,street_furniture_clean.csv
furniture-1079702,Seat - Metal Seat,street_furniture,Seat,,3.16,-37.82080405055975,144.96253039817344,street_furniture_clean.csv
furniture-1079705,Seat - Metal Seat,street_furniture,Seat,,1.16,-37.82059629700536,144.96276286593798,street_furniture_clean.csv
furniture-1079720,Seat - Metal Seat,street_furniture,Seat,,3.17,-37.820803662323975,144.95550532072428,street_furniture_clean.csv
furniture-1079756,Seat - Metal Seat,street_furniture,Seat,,2.16,-37.8108726389052,144.95909032099004,street_furniture_clean.csv
furniture-1079758,Seat - Metal Seat,street_furniture,Seat,,1.0,-37.816969960086425,144.95503208979187,street_furniture_clean.csv
furniture-1079766,Seat - Metal Seat,street_furniture,Seat,,3.1,-37.8173261854289,144.96190785686795,street_furniture_clean.csv
furniture-1079768,Seat - Metal Seat,street_furniture,Seat,,3.06,-37.83801203613586,144.98454348599245,street_furniture_clean.csv
furniture-1079783,Seat - Metal Seat,street_furniture,Seat,,3.0,-37.82861274204898,144.98548449942282,street_furniture_clean.csv
